timestamp,absorbance_od600,cell_concentration_cells_per_ml,parent_well
2025-10-26T16:50:53.668849+00:00,0.7367,736700000,A1
2025-10-26T10:40:00.535611+00:00,0.5436,543600000,A1
2025-10-26T10:17:45.723109+00:00,0.529,529000000,A1
2025-10-26T10:12:00.403895+00:00,0.5094,509400000,A1
2025-10-26T09:27:00.239843+00:00,0.4631,463100000,A1
2025-10-26T09:07:58.289154+00:00,0.4401,440100000,A1
2025-10-26T08:50:03.160616+00:00,0.4308,430800000,A1
2025-10-26T08:25:55.429519+00:00,0.4036,403600000,A1
2025-10-26T08:18:59.713491+00:00,0.3862,386200000,A1
2025-10-26T08:12:00.145279+00:00,0.3731,373100000,A1
2025-10-26T08:04:57.539908+00:00,0.3593,359300000,A1
2025-10-26T07:57:55.624169+00:00,0.3413,341300000,A1
2025-10-26T07:50:59.984713+00:00,0.3284,328400000,A1
2025-10-26T07:43:55.699574+00:00,0.3136,313600000,A1
2025-10-26T07:36:59.568308+00:00,0.2968,296800000,A1
2025-10-26T07:29:55.543188+00:00,0.2805,280500000,A1
2025-10-26T07:20:59.219691+00:00,0.2608,260800000,A1
2025-10-26T07:11:00.350583+00:00,0.2377,237700000,A1
2025-10-26T07:03:59.535055+00:00,0.2214,221400000,A1
2025-10-26T06:55:56.301982+00:00,0.2041,204100000,A1
2025-10-26T06:42:55.494321+00:00,0.2491,249100000,A1
2025-10-26T06:32:45.242355+00:00,0.1703,170300000,A1
2025-10-26T05:49:41.067885+00:00,0.3641,364100000,A1
2025-10-26T05:44:46.502755+00:00,0.3701,370100000,A1
2025-10-26T05:39:41.162692+00:00,0.3688,368800000,A1
2025-10-26T05:34:41.706569+00:00,0.3742,374200000,A1
2025-10-26T05:29:42.883790+00:00,0.3789,378900000,A1
2025-10-26T05:24:41.436775+00:00,0.3787,378700000,A1
2025-10-26T05:19:41.211816+00:00,0.373,373000000,A1
2025-10-26T05:14:40.637833+00:00,0.3622,362200000,A1
2025-10-26T05:09:42.780499+00:00,0.3562,356200000,A1
2025-10-26T05:04:44.029957+00:00,0.3516,351600000,A1
2025-10-26T04:59:43.581140+00:00,0.3437,343700000,A1
2025-10-26T04:54:41.900348+00:00,0.3341,334100000,A1
2025-10-26T04:49:40.611494+00:00,0.3194,319400000,A1
2025-10-26T04:44:43.602202+00:00,0.3167,316700000,A1
2025-10-26T04:38:43.449861+00:00,0.3103,310300000,A1
2025-10-26T04:32:42.566013+00:00,0.2993,299300000,A1
2025-10-26T04:26:43.876833+00:00,0.2869,286900000,A1
2025-10-26T04:20:40.896977+00:00,0.2696,269600000,A1
2025-10-26T04:14:40.502046+00:00,0.2558,255800000,A1
2025-10-26T04:08:40.769491+00:00,0.2324,232400000,A1
2025-10-26T04:03:44.356398+00:00,0.2177,217700000,A1
2025-10-26T03:58:40.482859+00:00,0.2101,210100000,A1
2025-10-26T03:53:43.350143+00:00,0.2079,207900000,A1
2025-10-26T03:48:42.673894+00:00,0.3653,365300000,A1

