timestamp,absorbance_od600,cell_concentration_cells_per_ml
2025-10-26T16:50:53.668849+00:00,0.646,646000000
2025-10-26T10:40:00.535611+00:00,0.6663,666300000
2025-10-26T10:17:45.723109+00:00,0.6691,669100000
2025-10-26T10:12:00.403895+00:00,0.6591,659100000
2025-10-26T09:27:00.239843+00:00,0.6285,628500000
2025-10-26T09:07:58.289154+00:00,0.6188,618800000
2025-10-26T08:50:03.160616+00:00,0.5997,599700000
2025-10-26T08:25:55.429519+00:00,0.5953,595300000
2025-10-26T08:18:59.713491+00:00,0.5814,581400000
2025-10-26T08:12:00.145279+00:00,0.5733,573300000
2025-10-26T08:04:57.539908+00:00,0.566,566000000
2025-10-26T07:57:55.624169+00:00,0.552,552000000
2025-10-26T07:50:59.984713+00:00,0.5363,536300000
2025-10-26T07:43:55.699574+00:00,0.5242,524200000
2025-10-26T07:36:59.568308+00:00,0.5048,504800000
2025-10-26T07:29:55.543188+00:00,0.4871,487100000
2025-10-26T07:20:59.219691+00:00,0.4749,474900000
2025-10-26T07:11:00.350583+00:00,0.4575,457500000
2025-10-26T07:03:59.535055+00:00,0.4385,438500000
2025-10-26T06:55:56.301982+00:00,0.4285,428500000
2025-10-26T06:42:55.494321+00:00,0.4758,475800000
2025-10-26T06:32:45.242355+00:00,0.3795,379500000
2025-10-26T02:34:43.521669+00:00,0.4947,494700000
2025-10-26T02:28:43.867226+00:00,0.4952,495200000
2025-10-26T02:22:43.584895+00:00,0.4966,496600000
2025-10-26T02:16:46.671458+00:00,0.4982,498200000
2025-10-26T02:10:48.189142+00:00,0.5091,509100000
2025-10-26T02:04:44.437547+00:00,0.5546,554600000

