timestamp,absorbance_od600,cell_concentration_cells_per_ml,parent_well
2025-10-26T16:50:53.668849+00:00,0.5591,559100000,A2
2025-10-26T10:40:00.535611+00:00,0.3827,382700000,A2
2025-10-26T10:17:45.723109+00:00,0.3797,379700000,A2
2025-10-26T10:12:00.403895+00:00,0.3768,376800000,A2
2025-10-26T09:27:00.239843+00:00,0.3537,353700000,A2
2025-10-26T09:07:58.289154+00:00,0.346,346000000,A2
2025-10-26T08:50:03.160616+00:00,0.3522,352200000,A2
2025-10-26T08:25:55.429519+00:00,0.3516,351600000,A2
2025-10-26T08:18:59.713491+00:00,0.3396,339600000,A2
2025-10-26T08:12:00.145279+00:00,0.3321,332100000,A2
2025-10-26T08:04:57.539908+00:00,0.3288,328800000,A2
2025-10-26T07:57:55.624169+00:00,0.3171,317100000,A2
2025-10-26T07:50:59.984713+00:00,0.3018,301800000,A2
2025-10-26T07:43:55.699574+00:00,0.2877,287700000,A2
2025-10-26T07:36:59.568308+00:00,0.2684,268400000,A2
2025-10-26T07:29:55.543188+00:00,0.258,258000000,A2
2025-10-26T07:20:59.219691+00:00,0.2422,242200000,A2
2025-10-26T07:11:00.350583+00:00,0.2221,222100000,A2
2025-10-26T07:03:59.535055+00:00,0.2147,214700000,A2
2025-10-26T06:55:56.301982+00:00,0.2548,254800000,A2
2025-10-26T06:42:55.494321+00:00,0.3182,318200000,A2
2025-10-26T06:32:45.242355+00:00,0.1459,145900000,A2

