timestamp,absorbance_od600,cell_concentration_cells_per_ml
2025-10-26T16:50:53.668849+00:00,0.6976,697600000
2025-10-26T10:40:00.535611+00:00,0.6632,663200000
2025-10-26T10:17:45.723109+00:00,0.6649,664900000
2025-10-26T10:12:00.403895+00:00,0.6614,661400000
2025-10-26T09:27:00.239843+00:00,0.6228,622800000
2025-10-26T09:07:58.289154+00:00,0.6125,612500000
2025-10-26T08:50:03.160616+00:00,0.6047,604700000
2025-10-26T08:25:55.429519+00:00,0.5954,595400000
2025-10-26T08:18:59.713491+00:00,0.5886,588600000
2025-10-26T08:12:00.145279+00:00,0.5858,585800000
2025-10-26T08:04:57.539908+00:00,0.5874,587400000
2025-10-26T07:57:55.624169+00:00,0.5812,581200000
2025-10-26T07:50:59.984713+00:00,0.5842,584200000
2025-10-26T07:43:55.699574+00:00,0.5787,578700000
2025-10-26T07:36:59.568308+00:00,0.5731,573100000
2025-10-26T07:29:55.543188+00:00,0.5627,562700000
2025-10-26T07:20:59.219691+00:00,0.5674,567400000
2025-10-26T07:11:00.350583+00:00,0.5777,577700000
2025-10-26T07:03:59.535055+00:00,0.5835,583500000
2025-10-26T06:55:56.301982+00:00,0.5981,598100000
2025-10-26T06:42:55.494321+00:00,0.7274,727400000
2025-10-26T06:32:45.242355+00:00,0.5491,549100000
2025-10-26T02:34:43.521669+00:00,0.5482,548200000
2025-10-26T02:28:43.867226+00:00,0.5508,550800000
2025-10-26T02:22:43.584895+00:00,0.5566,556600000
2025-10-26T02:16:46.671458+00:00,0.5601,560100000
2025-10-26T02:10:48.189142+00:00,0.5693,569300000
2025-10-26T02:04:44.437547+00:00,0.5736,573600000

