timestamp,absorbance_od600,cell_concentration_cells_per_ml,parent_well
2025-10-26T08:50:53.668849-08:00,0.5856,585600000,A1
2025-10-26T02:40:00.535611-08:00,0.4609,460900000,A1
2025-10-26T02:17:45.723109-08:00,0.4632,463200000,A1
2025-10-26T02:12:00.403895-08:00,0.4564,456400000,A1
2025-10-26T01:27:00.239843-08:00,0.4302,430200000,A1
2025-10-26T01:07:58.289154-08:00,0.4231,423100000,A1
2025-10-26T00:50:03.160616-08:00,0.411,411000000,A1
2025-10-26T00:25:55.429519-08:00,0.4027,402700000,A1
2025-10-26T00:18:59.713491-08:00,0.3996,399600000,A1
2025-10-26T00:12:00.145279-08:00,0.3967,396700000,A1
2025-10-26T00:04:57.539908-08:00,0.392,392000000,A1
2025-10-25T23:57:55.624169-08:00,0.3884,388400000,A1
2025-10-25T23:50:59.984713-08:00,0.39,390000000,A1
2025-10-25T23:43:55.699574-08:00,0.3933,393300000,A1
2025-10-25T23:36:59.568308-08:00,0.3941,394100000,A1
2025-10-25T23:29:55.543188-08:00,0.3973,397300000,A1
2025-10-25T23:20:59.219691-08:00,0.3989,398900000,A1
2025-10-25T23:11:00.350583-08:00,0.3994,399400000,A1
2025-10-25T23:03:59.535055-08:00,0.4014,401400000,A1
2025-10-25T22:55:56.301982-08:00,0.5135,513500000,A1
2025-10-25T22:42:55.494321-08:00,0.5496,549600000,A1
2025-10-25T22:32:45.242355-08:00,0.3926,392600000,A1
2025-10-25T21:49:41.067885-08:00,0.3789,378900000,A1
2025-10-25T21:44:46.502755-08:00,0.3803,380300000,A1
2025-10-25T21:39:41.162692-08:00,0.3825,382500000,A1
2025-10-25T21:34:41.706569-08:00,0.384,384000000,A1
2025-10-25T21:29:42.883790-08:00,0.3856,385600000,A1
2025-10-25T21:24:41.436775-08:00,0.3829,382900000,A1
2025-10-25T21:19:41.211816-08:00,0.3725,372500000,A1
2025-10-25T21:14:40.637833-08:00,0.363,363000000,A1
2025-10-25T21:09:42.780499-08:00,0.358,358000000,A1
2025-10-25T21:04:44.029957-08:00,0.3526,352600000,A1
2025-10-25T20:59:43.581140-08:00,0.3425,342500000,A1
2025-10-25T20:54:41.900348-08:00,0.3282,328200000,A1
2025-10-25T20:49:40.611494-08:00,0.3184,318400000,A1
2025-10-25T20:44:43.602202-08:00,0.3168,316800000,A1
2025-10-25T20:38:43.449861-08:00,0.3085,308500000,A1
2025-10-25T20:32:42.566013-08:00,0.2979,297900000,A1
2025-10-25T20:26:43.876833-08:00,0.2846,284600000,A1
2025-10-25T20:20:40.896977-08:00,0.2689,268900000,A1
2025-10-25T20:14:40.502046-08:00,0.2533,253300000,A1
2025-10-25T20:08:40.769491-08:00,0.2335,233500000,A1
2025-10-25T20:03:44.356398-08:00,0.2227,222700000,A1
2025-10-25T19:58:40.482859-08:00,0.2401,240100000,A1
2025-10-25T19:53:43.350143-08:00,0.3564,356400000,A1
2025-10-25T19:48:42.673894-08:00,0.3786,378600000,A1

