timestamp,absorbance_od600,cell_concentration_cells_per_ml,parent_well,consider_data
2025-10-26T08:50:53.668849-0800,0.5757,575700000,A2,False
2025-10-26T02:40:00.535611-0800,0.4031,403100000,A2,True
2025-10-26T02:17:45.723109-0800,0.3966,396600000,A2,True
2025-10-26T02:12:00.403895-0800,0.3902,390200000,A2,True
2025-10-26T01:27:00.239843-0800,0.3753,375300000,A2,True
2025-10-26T01:07:58.289154-0800,0.3687,368700000,A2,True
2025-10-26T00:50:03.160616-0800,0.3669,366900000,A2,True
2025-10-26T00:25:55.429519-0800,0.3771,377100000,A2,True
2025-10-26T00:18:59.713491-0800,0.3709,370900000,A2,True
2025-10-26T00:12:00.145279-0800,0.3594,359400000,A2,True
2025-10-26T00:04:57.539908-0800,0.3556,355600000,A2,True
2025-10-25T23:57:55.624169-0800,0.3421,342100000,A2,True
2025-10-25T23:50:59.984713-0800,0.3313,331300000,A2,True
2025-10-25T23:43:55.699574-0800,0.315,315000000,A2,True
2025-10-25T23:36:59.568308-0800,0.3061,306100000,A2,True
2025-10-25T23:29:55.543188-0800,0.2987,298700000,A2,False
2025-10-25T23:20:59.219691-0800,0.2809,280900000,A2,False
2025-10-25T23:11:00.350583-0800,0.2524,252400000,A2,False
2025-10-25T23:03:59.535055-0800,0.2479,247900000,A2,False
2025-10-25T22:55:56.301982-0800,0.3383,338300000,A2,False
2025-10-25T22:42:55.494321-0800,0.3825,382500000,A2,False
2025-10-25T22:32:45.242355-0800,0.1568,156800000,A2,False
