timestamp,absorbance_od600,cell_concentration_cells_per_ml,parent_well,consider_data
2025-10-26T08:50:53.668849-0800,0.5921,592100000,B2,False
2025-10-26T02:40:00.535611-0800,0.4134,413400000,B2,True
2025-10-26T02:17:45.723109-0800,0.4016,401600000,B2,True
2025-10-26T02:12:00.403895-0800,0.398,398000000,B2,True
2025-10-26T01:27:00.239843-0800,0.3824,382400000,B2,True
2025-10-26T01:07:58.289154-0800,0.3751,375100000,B2,True
2025-10-26T00:50:03.160616-0800,0.3717,371700000,B2,True
2025-10-26T00:25:55.429519-0800,0.3791,379100000,B2,True
2025-10-26T00:18:59.713491-0800,0.3718,371800000,B2,True
2025-10-26T00:12:00.145279-0800,0.3617,361700000,B2,True
2025-10-26T00:04:57.539908-0800,0.3535,353500000,B2,True
2025-10-25T23:57:55.624169-0800,0.3426,342600000,B2,True
2025-10-25T23:50:59.984713-0800,0.3231,323100000,B2,True
2025-10-25T23:43:55.699574-0800,0.3091,309100000,B2,True
2025-10-25T23:36:59.568308-0800,0.2983,298300000,B2,True
2025-10-25T23:29:55.543188-0800,0.2836,283600000,B2,False
2025-10-25T23:20:59.219691-0800,0.2681,268100000,B2,False
2025-10-25T23:11:00.350583-0800,0.2452,245200000,B2,False
2025-10-25T23:03:59.535055-0800,0.2397,239700000,B2,False
2025-10-25T22:55:56.301982-0800,0.3411,341100000,B2,False
2025-10-25T22:42:55.494321-0800,0.3669,366900000,B2,False
2025-10-25T22:32:45.242355-0800,0.1564,156400000,B2,False
