timestamp,absorbance_od600,cell_concentration_cells_per_ml,parent_well
2025-10-26T17:35:54.880648+00:00,0.1714,171400000,B3
2025-10-26T17:33:50.522754+00:00,0.1701,170100000,B3
2025-10-26T17:31:48.090045+00:00,0.169,169000000,B3
2025-10-26T17:29:43.814519+00:00,0.1682,168200000,B3
2025-10-26T17:27:39.262723+00:00,0.1671,167100000,B3
2025-10-26T17:25:34.833910+00:00,0.1662,166200000,B3
2025-10-26T17:23:32.259938+00:00,0.1659,165900000,B3
2025-10-26T17:21:28.504555+00:00,0.1653,165300000,B3
2025-10-26T17:19:25.810449+00:00,0.165,165000000,B3
2025-10-26T17:17:18.290316+00:00,0.1647,164700000,B3
2025-10-26T17:15:13.067329+00:00,0.1648,164800000,B3
2025-10-26T17:13:09.344456+00:00,0.1646,164600000,B3
2025-10-26T17:11:06.395765+00:00,0.164,164000000,B3
2025-10-26T17:09:01.946510+00:00,0.1635,163500000,B3
2025-10-26T17:06:58.282760+00:00,0.1634,163400000,B3
2025-10-26T17:04:57.110474+00:00,0.1635,163500000,B3

