timestamp,absorbance_od600,cell_concentration_cells_per_ml,parent_well
2025-10-26T16:50:53.668849+00:00,0.5637,563700000,B2
2025-10-26T10:40:00.535611+00:00,0.4034,403400000,B2
2025-10-26T10:17:45.723109+00:00,0.3922,392200000,B2
2025-10-26T10:12:00.403895+00:00,0.3898,389800000,B2
2025-10-26T09:27:00.239843+00:00,0.3763,376300000,B2
2025-10-26T09:07:58.289154+00:00,0.3671,367100000,B2
2025-10-26T08:50:03.160616+00:00,0.3665,366500000,B2
2025-10-26T08:25:55.429519+00:00,0.3666,366600000,B2
2025-10-26T08:18:59.713491+00:00,0.3616,361600000,B2
2025-10-26T08:12:00.145279+00:00,0.356,356000000,B2
2025-10-26T08:04:57.539908+00:00,0.3491,349100000,B2
2025-10-26T07:57:55.624169+00:00,0.339,339000000,B2
2025-10-26T07:50:59.984713+00:00,0.33,330000000,B2
2025-10-26T07:43:55.699574+00:00,0.3156,315600000,B2
2025-10-26T07:36:59.568308+00:00,0.3032,303200000,B2
2025-10-26T07:29:55.543188+00:00,0.2857,285700000,B2
2025-10-26T07:20:59.219691+00:00,0.2724,272400000,B2
2025-10-26T07:11:00.350583+00:00,0.2523,252300000,B2
2025-10-26T07:03:59.535055+00:00,0.245,245000000,B2
2025-10-26T06:55:56.301982+00:00,0.2581,258100000,B2
2025-10-26T06:42:55.494321+00:00,0.3756,375600000,B2
2025-10-26T06:32:45.242355+00:00,0.1679,167900000,B2

