plate_barcode,well_position,culture_id,timestamp,absorbance,absorbance_wavelength,absorbance_bandwidth,absorbance_number_of_reads,cell_concentration,dataset_id
ScaleMeMaybe,A1,CLTR1SZVK3DJFLAF4YZIX25HFB2266M,2025-10-26T16:50:53.668849+00:00,0.7219000000,600,9,25,721900000,PLTDTST1WMKOW72PMIOR4MUEMWFNLGJYFY
ScaleMeMaybe,A2,CLTR15WZPQXTAXQG6QF4RWUXNNNL4P4,2025-10-26T16:50:53.668849+00:00,0.7367000000,600,9,25,736700000,PLTDTST1WMKOW72PMIOR4MUEMWFNLGJYFY
ScaleMeMaybe,A3,CLTR1VVQXZCPQNK5WLSWQUYB65RL4DU,2025-10-26T16:50:53.668849+00:00,0.5599000000,600,9,25,559900000,PLTDTST1WMKOW72PMIOR4MUEMWFNLGJYFY
ScaleMeMaybe,B1,CLTR1UTU5YFKLI32VTFQGX6KHQOTJEE,2025-10-26T16:50:53.668849+00:00,0.6460000000,600,9,25,646000000,PLTDTST1WMKOW72PMIOR4MUEMWFNLGJYFY
ScaleMeMaybe,B2,CLTR1S3NHC4FDM3XNCQAPO7HAEFJO64,2025-10-26T16:50:53.668849+00:00,0.6880000000,600,9,25,688000000,PLTDTST1WMKOW72PMIOR4MUEMWFNLGJYFY
ScaleMeMaybe,B3,CLTR1YDFSSGJBRJLAAUAM4QSXQ7IFQQ,2025-10-26T16:50:53.668849+00:00,0.5591000000,600,9,25,559100000,PLTDTST1WMKOW72PMIOR4MUEMWFNLGJYFY
ScaleMeMaybe,C1,CLTR1BRJIK646KBQSEM63JR4PGHTXAE,2025-10-26T16:50:53.668849+00:00,0.6976000000,600,9,25,697600000,PLTDTST1WMKOW72PMIOR4MUEMWFNLGJYFY
ScaleMeMaybe,C2,CLTR173UBJYU4KEMWXOCSARBTVAEE3I,2025-10-26T16:50:53.668849+00:00,0.5856000000,600,9,25,585600000,PLTDTST1WMKOW72PMIOR4MUEMWFNLGJYFY
ScaleMeMaybe,C3,CLTR1T67Q6IFCFZWHZBKCE46APZBPX4,2025-10-26T16:50:53.668849+00:00,0.5757000000,600,9,25,575700000,PLTDTST1WMKOW72PMIOR4MUEMWFNLGJYFY
ScaleMeMaybe,D2,CLTR1ZSIGHVSYDPRSLWNJR62IO7DVTE,2025-10-26T16:50:53.668849+00:00,0.5884000000,600,9,25,588400000,PLTDTST1WMKOW72PMIOR4MUEMWFNLGJYFY
ScaleMeMaybe,D3,CLTR1YK3P7WOCXUTLH6LAOY7FNQHC2A,2025-10-26T16:50:53.668849+00:00,0.5921000000,600,9,25,592100000,PLTDTST1WMKOW72PMIOR4MUEMWFNLGJYFY
ScaleMeMaybe,E2,CLTR12FIXOZZ7PQTH2ISR2EN5J3IH6M,2025-10-26T16:50:53.668849+00:00,0.5827000000,600,9,25,582700000,PLTDTST1WMKOW72PMIOR4MUEMWFNLGJYFY
ScaleMeMaybe,E3,CLTR1SZ7USHKVTLETEQ5546O3NLTW4Y,2025-10-26T16:50:53.668849+00:00,0.5659000000,600,9,25,565900000,PLTDTST1WMKOW72PMIOR4MUEMWFNLGJYFY
